total.pckts,tcp.pct,udp.pct,http.pct,other.pct,ip.src.unique,ip.dest.unique,eth.src.unique,eth.dest.unique,pkt.length.mean,pkt.length.std,pkt.length.var,pkt.length.min,pkt.length.max,pkt.length.pquartil,pkt.length.med,pkt.length.tquartil,pkt.delta.mean,pkt.delta.std,pkt.delta.var,pkt.delta.min,pkt.delta.max,pkt.delta.pquartil,pkt.delta.med,pkt.delta.tquartil,ttl.mean,ttl.std,ttl.var,ttl.min,ttl.max,ttl.pquartil,ttl.med,ttl.tquartil,tcp.flag.res.count,tcp.flag.ae.count,tcp.flag.cwr.count,tcp.flag.ece.count,tcp.flag.urg.count,tcp.flag.ack.count,tcp.flag.push.count,tcp.flag.reset.count,tcp.flag.syn.count,tcp.flag.fyn.count,dest.port.entropy,src.port.entropy,tcp.seq.entropy,http.statusok,http.statusnotok,http.get.pct,http.post.pct,http.othermethods.pct,http.useragent.unique,http.url.unique,http.avg.url.len,label
1499,79.9866577718479,0.0,20.0133422281521,0.0,26,26,26,26,171.4489659773182,275.0975513903619,75678.66278097281,66.0,990.0,66.0,66.0,74.0,0.0006598797098065,0.0018708850325065,3.5002108048569413e-06,-8.2544e-05,0.021291893,3.2911e-05,9.771e-05,0.0004820235,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1351,300,0,296,300,0.6364618680745934,0.6384228182715453,0.827073160543241,10.00667111407605,89.99332888592394,10.00667111407605,0.0,89.99332888592394,2,2,19.0,0
1505,80.06644518272425,0.0,19.93355481727575,0.0,26,26,26,26,171.04983388704318,274.6208959232681,75416.63647769846,66.0,990.0,66.0,66.0,74.0,0.0006604178870431,0.0019229718613177,3.6978207794197528e-06,-6.8432e-05,0.021727486,3.3919e-05,9.6965e-05,0.000468452,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1355,300,0,300,300,0.6358297918814476,0.6390876569945493,0.8305798454048434,9.966777408637874,90.03322259136213,9.966777408637874,0.0,90.03322259136213,2,2,19.0,0
1504,80.0531914893617,0.0,19.9468085106383,0.0,26,26,26,26,171.11968085106383,274.69886549617945,75459.4667048881,66.0,990.0,66.0,66.0,74.0,0.0006449134574468,0.0018465151075438,3.409618042387639e-06,-5.6674e-05,0.021444942,3.4287e-05,9.75115e-05,0.0004921745,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1354,300,0,300,298,0.634802831003907,0.6398978373882074,0.836884396473781,9.97340425531915,90.02659574468085,9.97340425531915,0.0,90.02659574468085,2,2,19.0,0
1502,80.0266311584554,0.0,19.973368841544605,0.0,26,26,26,26,171.25965379494008,274.85499627505726,75545.26897736175,66.0,990.0,66.0,66.0,74.0,0.0006558455679094,0.0019199458384787,3.686192022691939e-06,-8.1178e-05,0.02165145,3.34905e-05,8.126650000000001e-05,0.00046415825,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1352,300,0,300,300,0.6358212922137433,0.6373515463882976,0.7627261058303325,9.986684420772304,90.0133155792277,9.986684420772304,0.0,90.0133155792277,2,2,19.0,0
1502,80.0266311584554,0.0,19.973368841544605,0.0,26,26,26,26,171.25965379494008,274.85499627505726,75545.26897736175,66.0,990.0,66.0,66.0,74.0,0.000656359391478,0.0019810737699344,3.924653281922184e-06,-5.0875e-05,0.02209066,3.2831e-05,8.29645e-05,0.00041776125,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1352,300,0,300,300,0.6358212922137433,0.6373515463882976,0.7627261058303325,9.986684420772304,90.0133155792277,9.986684420772304,0.0,90.0133155792277,2,2,19.0,0
1497,79.95991983967936,0.0,20.04008016032064,0.0,26,26,26,26,171.6112224448898,275.2464449097751,75760.60543546987,66.0,990.0,66.0,66.0,74.0,0.0006559002979291,0.0020281149512641,4.113250255541022e-06,-6.8594e-05,0.022789761,3.2777e-05,9.0846e-05,0.000454268,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1347,300,0,300,298,0.6361259315125809,0.6369474859602708,0.7620028800652026,10.02004008016032,89.97995991983969,10.02004008016032,0.0,89.97995991983969,2,2,19.0,0
1485,79.93265993265993,0.0,20.067340067340066,0.0,26,26,26,26,171.220202020202,274.58199178305455,75395.27021154945,66.0,990.0,66.0,66.0,74.0,0.000673009613468,0.0021008184020247,4.41343795828595e-06,-4.4925e-05,0.022791203,3.4883e-05,9.8242e-05,0.000504402,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1335,298,0,300,293,0.6341698546057989,0.6364504711368372,0.7654075035835372,9.966329966329964,90.03367003367003,10.1010101010101,0.0,89.8989898989899,2,2,19.0,0
1496,80.08021390374331,0.0,19.919786096256683,0.0,26,26,26,26,171.52941176470588,275.35184995717333,75818.64127483769,66.0,990.0,66.0,66.0,74.0,0.0006674663602941,0.0021038036239934,4.425989688327771e-06,-9.8685e-05,0.022603917,3.2968499999999994e-05,8.120149999999999e-05,0.00047392475,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1346,298,0,300,300,0.6330891368629373,0.6336757285616325,0.7664163777688906,10.02673796791444,89.97326203208557,9.893048128342247,0.0,90.10695187165776,2,2,19.0,0
1501,80.01332445036641,0.0,19.986675549633578,0.0,26,26,26,26,171.32978014656896,274.9331576448203,75588.24117255163,66.0,990.0,66.0,66.0,74.0,0.0006619412451698,0.0021074378056613,4.44129410473067e-06,-8.7357e-05,0.022905777,3.3079e-05,8.594e-05,0.000490885,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1351,300,0,300,298,0.6313705022895004,0.6352767144298314,0.7729022616977796,9.993337774816789,90.0066622251832,9.993337774816789,0.0,90.0066622251832,2,2,19.0,0
1485,79.86531986531986,0.0,20.13468013468013,0.0,26,26,26,26,171.84242424242424,275.3891330718501,75839.17461406518,66.0,990.0,66.0,66.0,74.0,0.0006721906478114,0.0020627665170663,4.255005703929916e-06,-5.7241e-05,0.022375865,3.3778e-05,9.1095e-05,0.000508178,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1335,299,0,300,293,0.6316759271952542,0.6332798146303287,0.7691976270344771,10.033670033670033,89.96632996632997,10.1010101010101,0.0,89.8989898989899,2,2,19.0,0
1488,80.10752688172043,0.0,19.892473118279568,0.0,26,26,26,26,170.31048387096774,273.5482909637849,74828.66748920751,66.0,990.0,66.0,66.0,74.0,0.000672026797715,0.0020874148618107,4.357300805308455e-06,-6.6597e-05,0.021739409,3.267025e-05,8.041750000000001e-05,0.000467898,64.0,0.0,0.0,64.0,64.0,64.0,64.0,64.0,0,0,0,0,0,1338,296,0,300,294,0.6268141284151995,0.6338440518314752,0.7700821173227791,9.879032258064516,90.12096774193547,10.013440860215054,0.0,89.98655913978494,2,2,19.0,0
