timestamp,hostname,in_iface,out_iface,mac,src_ip,dst_ip,len,tos,prec,ttl,id,proto,spt,dpt,seq,ack,window,urgp,mark
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,46,17551,TCP,63572,2717,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,48,37260,TCP,63572,34572,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,38,8982,TCP,63572,6789,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,56,36251,TCP,63572,17,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,58,12388,TCP,63572,500,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,58,40502,TCP,63572,8651,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,46,28256,TCP,63572,3005,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,47,39503,TCP,63572,3878,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,42,1934,TCP,63572,125,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,49,19166,TCP,63572,3546,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,38,55230,TCP,63572,1026,1963706157,0,1024,0,0
Aug 30 04:43:37,mentorednetworking561-13-mentored-na-server-0,net1,,86:f6:e3:a3:06:ca:f6:9e:a4:56:0b:00:08:00:45:00:00:2c,10.11.21.61,10.11.62.55,44,00,0x00,43,50083,TCP,63572,1001,1963706157,0,1024,0,0
